uuid,closeness_centrality,name,investor_types,most_common_invest_type
db9a455c-d51e-350a-d402-87bd0b1d46a5,0.25092613369722,Shasta Ventures,venture_capital,series_a
d880b571-da0a-c52b-3497-856dd41bbe7d,0.1937805045838369,LMS Capital,private_equity_firm,series_b
d0b6a31b-c90a-fb1a-1192-e1aa4f741e52,0.22340366680941648,TransLink Capital,venture_capital,series_a
3abdd26b-df6d-573a-5900-bd62a174e007,0.2262290644185833,NTT DoCoMo,venture_capital,corporate_round
e88f5745-168d-cb8c-1e65-81d50ce1aeab,0.20949936471469355,LLR Partners,private_equity_firm,private_equity
3e6a38ba-9176-5390-eafa-8d90327738a0,0.0,Beechbrook Capital,private_equity_firm,debt_financing
48a44739-0be2-264f-8e0b-952dbe357a1b,0.22194656263863405,Actis,private_equity_firm,private_equity
0046e9ad-734f-c680-56b0-c9b10883c45e,0.19254697043888305,Invoke Capital Partners,venture_capital,series_b
29ed6c1a-beb8-dfb7-3218-d21eb4404b18,0.19254697043888305,Marc Coucke,angel,series_c
d0cdfdc0-517d-ce18-4a74-194f506bccad,0.23991744928577213,Balderton Capital,venture_capital,series_a
114f0703-c2bd-ba0a-8c3b-f183dd5a7107,0.19981656039558657,Foundation for Technological Innovation (FIT),"entrepreneurship_program,government_office",debt_financing
7fe5c779-d231-b528-914a-69b8cfae8538,0.21247841614591545,Business Growth Fund,"private_equity_firm,venture_capital",series_unknown
6c88474a-7e28-7302-b7a7-7ea7ae2193d4,0.0,Florian Fenner,angel,seed
3d067138-0ba2-2766-ab6d-eb4ad462c1dd,0.1822697950279614,Heliad Equity Partners,private_equity_firm,post_ipo_equity
b5723275-87b1-3646-b819-8b8f8bd2459a,0.16831676682058866,Dunrath Capital,private_equity_firm,series_a
d8af35dc-9cf5-2e99-3864-0fd2e9e9a913,0.2118325693893198,Lighter Capital,venture_debt,debt_financing
3b130aed-5259-8dd1-d767-b6c05171a8ea,0.24934603954450543,Hillhouse Capital Group,private_equity_firm,series_c
a934eadd-65f2-4c08-9be7-51dad523dd2c,0.25495793091683405,Sequoia Capital China,venture_capital,series_a
bdc27a71-4400-42ff-99a7-017787248641,0.0,Vikram Lakhotia,angel,seed
c06fab5e-2646-a238-a280-1ce83e63f507,0.18653567554370112,Tech Coast Angels,angel_group,series_a
6dc4e5d1-c365-a183-f5d8-d9469207139f,0.21721487554086488,Cultivation Capital,venture_capital,seed
e489ddae-e520-fd17-7f70-1a8298603865,0.1920460876869202,Allos Ventures,venture_capital,series_a
03dfca70-dcfa-c445-e0d5-d2b1f736dc9e,0.22868174997549187,Lightbank,venture_capital,series_a
5e5c6b28-edf3-838a-1e30-d7985e6ef963,0.0,The Weinstein Company,,series_a
