,article_id,people,orgs,potential_startups,matched_title
23,23,"['Michael Lints', 'Lints', 'Lints', 'Traveloka', 'Cento Ventures', 'Lints', 'SPACs', 'Gojek', 'Lints', 'Lints', 'Gojek', 'Lazada', 'Lints', 'Lints']","['Golden Gate Ventures', 'Golden Gate Ventures', 'INSEAD', 'New York Stock Exchange', 'TechCrunch', 'Cento Ventures', 'Golden Gate Ventures', 'PWC', 'Genesis Ventures', 'Golden Gate Ventures', 'Lints', 'Golden Gate Ventures', 'Golden Gate Ventures', 'Lints', 'Golden Gate Ventures', 'SPAC', 'SPAC', 'SPAC', 'Lints', 'SPAC', 'SPAC', 'SPAC', 'Singapore Exchange', 'Indonesian Stock Exchange', 'Lints']","['Golden Gate Ventures', 'Golden Gate Ventures', 'Golden Gate Ventures', 'Golden Gate Ventures', 'Golden Gate Ventures', 'Golden Gate Ventures', 'Golden Gate Ventures']",1
24,24,"['Maximilian Tayenthal', 'Pierre-Dimitri Gore-Coty', 'Raffael Johnen', 'Upflow', 'Xero', 'Chargebee', 'Upflow', 'Upflow', 'Alexandre Louisy', 'Adikteev']","['Uber SVP', 'Netsuite', 'Stripe Billing', 'IBAN', 'Stripe Payments', 'Upflow', 'Lattice']",['Upflow'],1
25,25,"['Carro', 'Carro', 'Carro', 'Aaron Tan', 'Carro', 'Carro', 'Carro', 'Carro', 'Carro', 'Carro', 'Tan', 'Carro', 'Carro', 'Carro', 'Carro', 'Carro', 'Carro', 'Carro', 'Carro', 'Tan', 'Carro', 'Carro', 'Carro', 'Tan', 'Carro', 'Carro', 'Greg Moon', 'Carro', 'Aaron', 'Carro']","['SoftBank Vision Fund', 'MSIG', 'EV Growth', 'OLX Autos', 'Showroom Anywhere', 'Showroom Anywhere', 'GEICO', 'Root Insurance', 'MSIG', 'Carro Care', 'Toyota Corolla', 'SoftBank Investment Advisers', 'AI']",['SoftBank Vision Fund'],1
26,26,"['Kamet', 'Moneta Seeds', 'Alex Zeltcer', 'Ziv Isaiah', 'Zeltcer']","['Phoenix Insurance', 'AI', 'NSure AI', 'AXA', 'NSure AI']",['AI'],1
27,27,"['Cory Siskind', 'Cory', 'Cory']","['Apple Podcasts', 'Google Podcasts']","['Apple Podcasts', 'Google Podcasts']",0
28,28,"['Andrea Campos', 'Campos', 'Campos', 'Campos', 'Campos', 'Campos', 'Facebook Messenger', 'Campos', 'Campos', 'Campos', 'Campos', 'Yana', 'Yana', 'Facebook Messenger', 'Campos', 'Yana', 'Yana', 'Campos', 'Yana', 'Yana', 'Flink', 'Yana', 'Magma', 'Yana', 'Yana', 'Campos', 'Yana', 'Campos', 'Yana', 'Campos', 'Federico Antoni', 'Campos', 'Yana ’', 'Campos', 'Yana']","['Apple', 'Google', 'ALLVP', 'Hustle Fund', 'ALLVP', 'TechCrunch']","['Apple', 'Google', 'ALLVP', 'Hustle Fund', 'ALLVP', 'TechCrunch']",0
29,29,"['Berkshire Hathaway', 'Marcella McCarthy', 'McCarthy', 'Danny Crichton', 'Ram Iyer', 'Richard Dal Porto', 'Nigel Sussman', 'McCarthy', 'David Velez', 'Cristina Junqueira', 'Velez', 'Nubank', 'Danny Crichton']","['ACH', 'HBS', 'Nubank', 'Disney World', 'LatAm', 'Nubank', 'Nubank', 'Disney', 'Nubank', 'Nubank', 'Nubank', '“ Which Nubank']","['Nubank', 'Nubank', 'Nubank', 'Nubank', 'Nubank', 'Nubank']",1
30,30,"['David Velez', 'Velez', 'Velez', 'Velez', 'Velez', 'Velez', 'Velez']","['Nubank', 'Nubank', 'Nubank', 'Stanford University —', 'Goldman Sachs', 'Morgan Stanley']","['Nubank', 'Nubank', 'Nubank']",1
31,31,"['David Velez', 'Velez', 'Edward Wible', 'Velez', 'Nubank', 'Velez', 'Cristina Junqueira', 'Junqueira', 'Junqueira', 'Nubank', 'Velez', 'Wible', 'Junqueira']","['Nubank', 'CTO', 'Disney', 'Disney']","['Disney', 'Disney']",1
32,32,"['David Velez', 'Nubank', 'Velez']","['Nubank', 'Nubank', 'Nubank', 'Nubank', 'Nubank']","['Nubank', 'Nubank', 'Nubank', 'Nubank', 'Nubank']",1
